Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Quote
Kodiak Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos middendorffi,Kodiak bears are the second largest bear in the world after the polar bear.
Kodkod,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,The kodkod is among the smallest species of cats in the entire world
Koi Fish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,"Cyprinus rubrofuscus ""koi""","In Japanese, the word koi sounds like the word for love. So the fish is a symbol of love among other good things."
Kokanee Salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,They change color in preparation for spawning!
Komodo Dragon,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus komodoensis,Only found on five Indonesian islands!
Komondor,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
Kooikerhondje,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"If Kooikerhondjes look familiar, it’s because old Dutch masters like Rembrandt and Jan Steen liked to paint them."
Koolie,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"The name ""koolie"" comes from the German mispronunciation of ""collie."""
Korean Jindo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"At the 1988 Olympics in Seoul, Jindos marched in the opening ceremonies."
Kori Bustard,Animalia,Chordata,Aves,Otidiformes,Otididae,Ardeotis,Ardeotis kori,"It's easily identified by its crest, large size, and wingspan"
Kouprey,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos sauveli,The kouprey is one of the rarest mammals in the world
Kowari,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyuroides,Dasyuroides byrnei,Kowaris do not drink or take water; all they get is the water content in their diet.
Krait,Animalia,Chordata,Reptilia,Squamata,Elapidae,Bungarus,,A painless bite that can result in death.
Krill,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiacea,,,The krill is perhaps the most important animal in the marine ecosystem!
Kudu,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus Strepsiceros,Lives in herds of up to 24 individuals!
Kudzu Bug,Animalia,Arthropoda,Insecta,Hemiptera,Plataspidae,Megacopta,Megacopta cribraria,"Kudzu bugs don't bite humans, but they secrete a substance that can irritate people's skin. That irritation is often confused for a bite."
Kuvasz,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Ownership of this dog was once restricted to the Hungarian nobility
Labahoula,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The AKC does not recognize this breed or the parent breed Catahoula
Labmaraner,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Loves to participate in activities.
Labouts Fairy Wrasse 2,Animalia,Chordata,Actinopterygii,Labriformes,Labridae,Cirrhilabrus,Cirrhilabrus laboutei,"Females are sequential hermaphrodites, which means they can convert to males anytime during their life cycle."
Labrabull,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Labrabulls are incredibly clever, and training them is easy because they love to please and don't have a stubborn bone in their body."
Labradane,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Labradanes can come with both sold-color coats and the more exciting patterns that you typically see on Great Danes.
Labradoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Friendly and energetic mix-breed!
Labrador Retriever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Well-balanced, friendly and versatile!"
Labraheeler,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,A Labraheeler is a good choice for a watchdog as it do whatever it can to keep its family safe!
Labrottie,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Labrotties will goof around clownishly to get laughs and attention.
Lace Bug,Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,,,May bite when threatened
Lace Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus varius,"When communicating, they make a loud, terrifying hissing sound, and they will strike any potential danger with their mighty tails."
Ladybug,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,,,"There are more than 5,000 species worldwide!"
Ladyfish,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,Elops,E. saurus,"Ladyfish are aggressive fighter when hooked, making them a favorite of anglers."
Lagotto Romagnolo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Lagotto Romagnolo is the only internationally recognized purebred truffle-hunting dog.
Lake Sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,Its skeleton is part cartilage and part bone.
Lake Trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus namaycush,"Darker specimens are sometimes called ""mud hens"""
Lakeland Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,These dogs were once used by farmers to keep foxes away from herds of sheep.
Lamancha Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,Have tiny ears named “gophers” or “elves”
Lamprey,Animalia,Chordata,Hyperoartia,Petromyzontiformes,,,,Not related to the eel
Lancashire Heeler,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The name “heeler” comes from the fact that it nips at the heels of cattle to herd them.
Lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox,"Lancetfish live at depths up to 6,500 feet below sea level"
Landseer Newfoundland,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"While Landseer's are very gentle and calm, they can sense a dangerous situation and will protect their loved ones."
Lappet Faced Vulture,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Torgos,Torgos tracheliotos,Lappet-faced vultures are tidy and wash their heads in a body of water after they’ve eaten
Lapponian Herder,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,This breed is also known as the Lapp Reindeer Dog and the Lapsk Vallhund.
Larder Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Dermestes,Dermestes lardarius,"Larder beetles were named based on their attraction to food storage rooms or cupboards, but they do not feed on stored food products."
Large Munsterlander,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Some people might find the Large Munsterlander too lively for their family, but they are actually very gentle with children and make fantastic family pets."
Largemouth Bass,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,M. salmoides,"Georgia, Mississippi, Alabama, and Florida all claim the largemouth bass as the state fish or state freshwater fish."
Laughing Kookaburra,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,,The laughing kookaburra is one of four kookaburra species.
Lavender Albino Ball Python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,The first two lavender albino ball pythons were wild-hatched and imported from Africa.
Lawnmower Blenny,Animalia,Chordata,Actinopterygii,Blenniiformes,Blenniidae,Salarias,Salarias fasciatus,Must be in temperatures of 78 degrees Fahrenheit to breed
Lazarus Lizard,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,Lazarus Lizards can communicate through chemical and visual signals.
Leaf Tailed Gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,,Only found on Madagascar!
Leafcutter Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta and Acromyrmex,,Leafcutter ants have been farming fungus under the forest floor for up to 50 million years!
Leafcutter Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,,"Megachile bees, particularly the alfalfa leafcutter bee (Megachile rotundata), are commonly sold to farmers for crop pollination."
Least Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax minimus,They can travel up to 72 miles in a single day.
Leatherback Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys,Dermochelys coriacea,They are the largest living turtle and the only sea turtle without a hard shell!
Leech,Animalia,Annelida,Clitellata,,,,,Has 10 pairs of eyes!
Leedsichthys,Animalia,Chordata,Actinopterygii,Pachycormiformes,Pachycormidae,Leedsichthys,Leedsichthys problematicus,Leedsichthys is one of the largest fish ever discovered
Leghorn Chicken,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus domesticus,"Leghorn chickens, one of the most popular industrial breeds, lay up to 320 eggs per year!"
Leichhardts Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Pyrgomorphidae,Petasida,Petasida ephippigera,Spend their lives
Lemming,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lemmus,Lemmus Lemmus,Does not hibernate during the bitter Arctic winter!
Lemon Blast Ball Python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,
Lemon Cuckoo Bumblebee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus citrinus,Male lemon cuckoo bumblebees do not have stingers.
Lemon Shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Negaprion,N. brevirostis,
Lemur,Animalia,Chordata,Mammalia,Primates,Lemuridae,Lemur Catta,,Natively found on the island of Madagascar!
Leonberger,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,This dog has been used for pulling carts full of goods.
Leopard Cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Prionailurus bengalensis,There are 11 different species!
Leopard Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,They can jump up to three feet
Leopard Gecko,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Eublepharis,Eublepharis macularius,The first ever domesticated lizard! There are now more than 100 unique color morphs thanks to selective breeding.
Leopard Lizard,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Gambelia,,Can jump a distance of two feet to capture prey
Leopard Seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Hydrurga,Hydrurga Leptonyx,The world's most aggressive seal species!
Leopard Shark,Animalia,Chordata,Chondrichthyes,Carcharhiniforme,Triakidae,Triakis,Triakis semifasciata,Leopard Sharks have teeth with three points.
Leopard Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,Stigmochelys pardalis,"The most widely distributed tortoise in
            
             Africa
            
            !"
Leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus,Spends much of the time high in the trees!
Leptocephalus,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Leptocephalus,Leptocephalus brevirostris,"Leptocephali have flat bodies filled with jelly-like substances, surrounded by a thin layer of muscle."
Lesser Jacana,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Microparra,Microparra capensis,"The lesser jacana is nomadic, often moving in search of temporary wetland habitats."
Lesser Scaup,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya affinis,Young lesser scaups learn to dive as soon as their down dries.
Lhasa Apso,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Lhasa Apso was often given as a gift in Tibetan culture
Lhasapoo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,A Lhasapoo’s coat can be curly like a poodle’s or long and silky like a Lhasa Apso’s.
Liger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo × Panthera tigris,The offspring of a lion and tiger parents!
Limpet,Animalia,Mollusca,Gastropoda,Patellogastropoda,,,,Can change sex from male to female and back again
Lineback Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos Taurus,The lineback cattle has been an integral part of rural New England society for more than 200 years!
Linnet 2,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,"While linnets are monogamous during mating season, they do not mate for life. While breeding pairs are together, the males are highly territorial and will defend the nesting site and the surrounding area."
Lion,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Lives in small groups called prides!
Lionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois,Pterois volitans,"Females can release up to 15,000 eggs at a time!"
Lions Mane Jellyfish,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Cyanea capillata,"Though it’s a huge animal, the lifespan of the lion’s mane jellyfish is only a year."
Liopleurodon 2,Animalia,Chordata,Reptilia,Plesiosauria,Pliosauridae,Liopleurodon,,One of the largest pliosaurs to ever live
Liopleurodon,Animalia,Chordata,Reptilia,Plesiosauria,Pliosauridae,Liopleurodon,Liopleurodon ferox,"Liopleurodon were fast swimmers that lived entirely under water, but they had no gills"
Lipstick Albino Boa,Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,Boa constrictor,Lipstick albino boas are a designer morph that you'll only find from breeders.
Little Brown Bat,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,The little brown bat uses echolocation to quickly navigate around its environment
Little Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula Minor,The smallest species of penguin!
Livyatan,Animalia,Chordata,Mammalia,Artiodactyla,incertae sedis,†Livyatan,†Livyatan melvillei,"The Livyatan had 1 to 1.2 foot long, interlocking teeth"
Lizard,Animalia,Chordata,Reptilia,Squamata,Lacertidae,,,"There are around 5,000 different species!"
Lizardfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus Scopoli,Synodus lucioceps,The lizardfish can camouflage itself against the sandy bottom to avoid predators.
Llama,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,Lama Glama,Natively found in the Andes Mountain range!
Loach,Animalia,Chordata,Actinopterygii,Cypriniformes,,,,Have sharp spines below their eyes
Lobster,Animalia,Arthropoda,Decapoda,Nephropidae,Nephropidae,,,Have been known to reach 100 years old!
Locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,Each locust can eat its weight in plants each day.
Loggerhead Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius ludovicianus,Its nickname is the butcherbird!
Lone Star Tick,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma americanum,Only females have the ‘lone star’ marking
Long Eared Owl,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,Casuarius,Ear tufts make it look bigger!
Long Haired Rottweiler,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Rottweilers have a tendency to snore.
Long Tailed Tit,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,Often hangs upside down while feeding!
Long Winged Kite Spider,Animalia,Arthropoda,Arachnida,Aranae,Araneidae,Gasteracantha,Gasteracantha versicolor,"The long-winged kite spider sets itself apart from other spiny orb-weavers by its elongated spiked protrusions from its sides, giving it the appearance of a pointed kite (its namesake)."
Longfin Mako Shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Isurus,Isurus paucus,
Longnose Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus osseus,The longnose gar species of the gar family has potentially existed for 100 million years.
Lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,,The lorikeet has a long brush-like tongue with fine hairs on it
Loris,Animalia,Chordata,Mammalia,Primate,Lorisidae,,,"Like all lorises, slow loris has a cute wide-eyed look, but it also has a venomous sting that can rot human flesh."
Lowchen,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"This breed is also known as the ""Little Lion Dog"" for their bravery and manes."
Lumpfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,The lumpfish have sticky suction cups on their fins
Luna Moth Caterpillar,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias,Actias luna,A luna moth caterpillar weighs less than 1 ounce.
Luna Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias,Actias luna,The luna moth had its own U.S. postage in 1987.
Lungfish,Animalia,Chordata,Sarcopterygii,Dipnoi,Dipnoi,,,The lungfish first evolved almost 400 million years ago.
Lurcher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
Lykoi Cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Their hairless gene is completely naturally occurring and not a man made mutation
Lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Felis lynx,Live in dens in rocks and under ledges!
Lyrebird,Animalia,Chordata,Aves,Passeriformes,Menuridae,Menura,,Lyrebirds mimic birds of prey to deter predators such as birds of prey.
Lystrosaurus,Animalia,Chordata,Lystrosauridae,Lystrosaurus,Lystrosaurus maccaigi,,,Lystrosaurus was one of the few terrestial species that survived the permian extinction
Macaque,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca,Macaque females will pass on their social rankings to their daughters
Macaroni Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes Chrysolophus,"Gather in colonies of up to 100,000 members!"
Macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Arini,Arini,The military macaw is named for the green uniforms that many soldiers use in South America.
Macgillivrays Warbler,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis tolmiei,"The complicated story of how MacGillivray’s Warblers got their name involves three ornithologists, a physician and a compromise."
Machaeroides,Animalia,Chordata,Mammalia,Oxyaenodonta,Oxyaenidae,Machaeroides,"M. eothen, M. simpsoni","Machaeroides had large saber-teeth, much like the saber-toothed tiger."
Mackenzie Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus occidentalis,Will travel up to 70 miles in a single day.
Macrauchenia,Animalia,Chordata,Mammalia,Litopterna,Macraucheniidae,Macrauchenia,,"The Macrauchenia was a large mammal, at nearly ten feet in length, weighing about 2,299 pounds."
Madagascar Hissing Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Gromphadorhina,Gromphadorhina portentosa,One of the largest types of cockroach
Madagascar Jacana,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Actophilornis,Actophilornis albinucha,The Madagascar jacana is endangered due to habitat loss and illegal hunting.
Madagascar Tree Boa,Animalia,Chordata,Reptilia,Squamata,Boidae,Sanzinia,Sanzinia madagascariensis,
Madora Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Gonimbrasia,Gonimbrasia belina,"Mopane worms (larva) only live for 3 - 4 days after evolving into an adult (madora), during which they mate and lay eggss"
Magellanic Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,Threatened by oil spills!
Maggot,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Lucilia,Lucilia sericata,Will only live in wet areas
Magnolia Warbler,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga Magnolia,They line their nests with fungi strands
Magpie,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica Pica,"They are found across Europe, Asia and Africa!"
Magyarosaurus,Animalia,Chordata,Reptilia,Dinosauria,Sauropoda,Magyarosaurus,Magyarosaurus dacus,Magyarosaurus is the smallest sauropod dinosaur to have ever lived
Mahi Mahi Dolphin Fish,Animalia,Chordata,Actinopterygii,Carangiformes,Coyphaenidae,Coryphaena,Coryphaena hippurus,It's called the rabbit of the ocean because it multiplies so quickly.
Maiasaura,Animalia,Chordata,†Ornithischia,†Hadrosauridae,†Maiasaura,†Maiasaura peeblesorum,,Maiasaura dinosaurs can grow to 31 feet long.
Maine Coon,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,It's the largest domesticated cat breed in the world.
Mal Shi,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis familiaris,They are very needy dogs and can suffer from separation anxiety.
Malayan Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverra,Viverra tangalunga,Also known as the Oriental Civet!
Malayan Krait,Animalia,Chordata,Reptilia,squamata,elapidae,bungarus,Bungarus candidus,"It's called the five-step snake because if a person is bitten, they can walk about five steps before dying."
Malayan Tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Jacksoni,Found in less-dense jungles!
Malchi,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Malchi is not a purebred but a crossbreed and relatively new on the scene. That’s why they are not recognized by the American Kennel Club (AKC) or any other canine organization.
Mallard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,"With an appropriate tail wind, the mallard can travel hundreds of miles a day"
Malteagle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Malteagles are one of the smallest beagle hybrids and love to follow their owners everywhere.
Maltese Mix,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupis,There are over 10 types of Maltese mixes that are popular with families around the world.
Maltese Shih Tzu,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Both parent breeds, the Maltese and Shih Tzu, once entertained royalty!"
Maltese,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Originally bred in Europe!
Maltipom,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,"Maltipoms from the same litter may not look alike, favoring one parent over the other (Pomeranian or Maltese)."
Maltipoo,Animalia,,,,,,,"Maltipoos may have one of three different coat types depending on the specific genes they inherit from their parents. These include silky, curly, or wavy."
Mamba,Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,Dendroaspis spp.,The black mamba is land-dwelling while the other three mamba species are tree-dwelling.
Mamushi Snake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Gloydius,Gloydius blomhoffii,"The Mamushi snake, which is also known as the Japanese moccasin or the Japanese pit viper, can grow to be over two feet long."
Man Of War Jellyfish,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Physaliidae,Physalia,Physalia physalis,Named for an 18th century warship
Manatee,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,,Also known as the Sea Cow!
Manchester Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Fences are no match for Manchester terriers. They’re great escape artists!
Mandarin Rat Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Euprepiophis,Euprepiophis mandarinus,"""This docile snake is a popular and long-lived pet - though challenging to care for - with a lifespan of up to 21 years!"""
Mandrill,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus,Mandrillus Sphinx,Distinctively coloured noses and rumps!
Maned Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,Chyrsocyon brachyurus,"Despite its name, the Maned Wolf is not actually a wolf."
Mangrove Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga dendrophila,Mangrove snakes have small fangs that are more like enlarged teeth at the back of their jaw.
Mangrove Snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus griseus,"Tagging studies have found that once adults establish a habitat they typically remain there for long periods. In fact, they found that these fish can stay in one area for up to 4 years."
Manta Ray,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Manta,,Manta rays are the biggest rays in the world
Mantella Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,,Some of the smallest and most brightly colored frogs in the world
Marabou Stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,Leptoptilos crumenifer,The marabou stork does not have a voice box.
Marans Chicken,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus domesticus,"Marans chickens produce some of the darkest, chocolate-brown eggs in the world!"
Marble Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,The marble fox is not a naturally occurring variant; it was created through artificial selection.
Maremma Sheepdog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
Margay,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus wiedii,Margays are one of the world’s most highly adapted cat species for climbing trees!
Marine Iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Amblyrhynchus,Amblyrhynchus cristatus,Adult marine iguanas vary in size depending on the size of the island where they live.
Marine Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo Marinus,Produces a toxin used in arrow darts!
Markhor,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra falconeri,"The markhor drools a foamy substance after chewing its cud, which the local people use for extracting snake poison."
Marmoset,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,Callihrix jacchus,
Marmot,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,,A marmot spends 80% of its life below ground
Marsh Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax ridibundus,Marsh frogs are the largest frogs that are native to Europe.
Marsican Brown Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,They do not fall completely asleep during hibernation but wake up from time to time during the winter to walk around.
Masiakasaurus,Animalia,Chordata,Reptilia,Dinosauria,Noasauridae,Masiakasaurus,Masiakasaurus knopfleri,Masiakasaurus had dentition adapted to catching fast-moving prey.
Masked Angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Genicanthus,G. personatus,"All masked angelfish are female until sometime after sexual maturity, at which point some become male."
Masked Palm Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paguma,Paguma larvata,"Found throughout Asia, India and China!"
Mason Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,,"Studies have shown that 250 to 300 mason bees can do the equivalent work of 90,000 honey bees!"
Massasauga,Animalia,Chordata,Reptilia,Squamata,Viperidae,Sistrurus,Sistrurus catenatus,"The name “Massasauga” comes from the Chippewa language, meaning “Great River Mouth”."
Mastador,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Mastador gets its enormous size from its Mastiff parent.
Mastiff Mix,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Don't let the boxmas's intimidating appearance and size fool you; they are actually gentle giants with even temperaments.
Mastiff,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Courageous, calm and affectionate!"
Mauzer,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Mauzers tend to bond with a specific person in the home and will follow them like a shadow.
May Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Scar,Phyllophaga,,May Beetles are also known as June Bugs Because they’re more active during the month of June
Mayan Cichlid,Animalia,Chordata,Actinopterygii,Cichiformes,Cichlidae,Mayaheros,Mayheros urophthalmus,Mayan cichlids live longer in captivity than they do in the wild.
Mayfly,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemeroptera,,,"There are 2,500 known species worldwide!"
Meagle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Meagle has an incredible sense of smell.
Mealworm Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,Tenebrio molitor,"In 1968, the mealworm beetle traveled to space and circled the moon on the Soviet mission Zond 5."
Mealybug,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,,,They have a symbiotic relationship with ants.
Meerkat,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,One will stand on guard to watch for predators!
