Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Quote
Amphicoelias Fragillimus,Animalia,Chordata,Sauropoda,Diplodocoidea,Amphicoelia,Amphicoelias Fragillimus,,Only one fossil has been found for this dinosaur and it was lost very soon after discovery.
Amur Leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis,The Amur leopard may be the rarest big cat on Earth!
Anaconda,Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,"E. murinus, E. notaeus, E. deschauenseei, E. Beniensis",They are the heaviest snake in the world
Anatolian Shepherd Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Big livestock dogs possibly resembling the Anatolian Shepherd were mentioned in the Book of Job
Anchovies,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,,,November 12th is celebrated as National Pizza with the Works Except Anchovies Day
Andrewsarchus,Animalia,Chordata,Mammalia,Artiodactyla,Andrewsarchus,Andrewsarchus mongoliensis,,Andrewsarchus is the largest terrestrial mammalian carnivore to have ever lived.
Angel Shark,Animalia,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,Squatina,Squatina squatina,The angelshark’s range has contracted by more than 80% in the past century.
Angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,95% of angelfish eat sponges
Angled Sunbeam Caterpillar,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Curetis,Curetis acuta,Create a silk bed that they use to attach themselves to leaves
Anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,,,,The anglerfish has a glowing lure on its head to attract unsuspecting prey
Angora Ferret,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,Was created as an accident.
Angora Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,Each adult Angora goat produces about 12 inches of mohair annually while kids have about 8 inches.
Anhinga,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,Anhinga anhinga,Their name means snake bird
Annas Hummingbird,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,Calypte anna,Anna's Hummingbird wings beat 40-50 times per second during normal flight
Anole Lizard,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,,"There are just under 400 species, several of which change color."
Anomalocaris,Animalia,Arthropoda,Radiodonta,Anomalocarididae,Anomalocaris,Anomalocaris,,
Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formicidae,,First evolved 100 million years ago!
Antarctic Scale Worm,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eulagisca,Eulagisca gigantea,Similar in length to a rat or squirrel
Anteater,Animalia,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,Myrmecophaga Tridactyla,Has the longest tongue of any animal in relation to its body size!
Antelope,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,,,Renew their horns every year!
Anteosaurus,Animalia,Chordata,Reptilia,Therapsida,Anteosauridae,Anteosaurus,Anteosaurus magnificus,"Although the Anteosaurus looked like a crocodile, it is more related to mammals than reptiles."
Antiguan Racer Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Alsophis,Alsophis antiguae,One of the most endangered snakes in the world
Ape,Animalia,Chordata,Mammalia,Primates,Hominidae,Hominoidea,,"Love to learn, especially through observation"
Apennine Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidea,Canis,C. lupus,Wolves do not howl at the moon. They howl to communicate with other members of their pack.
Appenzeller Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Appenzeller Sennenhund dogs serve as rescue animals in the Swiss Alps
Apple Head Chihuahua,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Apple Head Chihuahuas are toy breed dogs with a history dating back to ancient Mexico. They are lovable, loyal, smart and courageous with a lengthy lifespan despite being the world's smallest canines."
Apple Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiphyas,Epiphyas Postvittana,In Australia the LBAM causes $21.1 million annually in lost production and control costs
Arabian Cobra,Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja arabica,The Arabian cobra is the only true cobra species that can be found in the Arabian Peninsula.
Arabian Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,C. lupus arabs,They are the smallest wolf species
Arafura File Snake,Animalia,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus arafurae,"These snakes have rough, file-like skin."
Arambourgiania,Animalia,,,,,,,The Arambourgiania was not a dinosaur but instead a pterosaur!
Arapaima,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,,One of the largest freshwater fish
Archaeoindris,Animalia,Chordata,Mammalia,Primates,Palaeopropithecidae,Archaeoindris,Archaeoindris Fontoynontii,Archaeoindris was the largest primate to evolve in Madagascar
Archaeopteryx,Animalia,Chordata,Archaeopterygidae,Archaeopteryx,Archaeopteryx lithographica,,,
Archaeotherium,Animalia,Chordata,Mammalia,Artiodactyla,†Entelodontidae,†Archaeotherium,†Archaeotherium mortoni,"The family Entelodontidae is commonly referred to as ""hell pigs."""
Archelon Turtle,Animalia,,,,,,,Archelons are the largest turtles to have ever lived in the world
Archerfish,Animalia,Chordata,Actinopterygii,Perciformes,Toxotidae,Toxotes,Labrus jaculator,Archerfish can shoot a stream of water up to five feet with amazing accuracy.
Arctic Char,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus alpinus,Arctic char is the northern-most fish; no other fish lives anywhere further north!
Arctic Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes lagopus,Extremely thick winter fur!
Arctic Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus Arcticus,Eats berries found in the snow!
Arctic Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canus Lupus Arcticus,Incredibly versatile and adaptive!
Arctodus,Animalia,,,,,,,The South American spectacled bear is its closest relative living today.
Arctotherium,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Arctotherium,Arctotherium bonariense,The first fossil from the genus Arctotherium was discovered back in 1852.
Argentavis Magnificens,Animalia,Chordata,Aves,Cathartiformes,Teratornithidae,Argentavis Magnificens,,The Argentavis Magnificens was the heaviest flight bird to ever exist
Argentine Black And White Tegu 2,Animalia,Chordata,Reptilia,Squamata,Teiidae,Salvator,Salvator merianae,"Argentine black and white tegus are popular pets due to their dog-like qualities, such as a docile nature, intelligence, loyalty, and companionship."
Argentinosaurus,Animalia,Chordata,Argentinosaurus,,,,,The Argentinosaurus weighed as much as 10 elephants!
Arizona Bark Scorpion,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruriodes,Centruroides sculpturatus,"Under UV light they glow a bright blue or green, making them easy to spot."
Arizona Black Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus cerberus,Female Arizona black rattlesnakes sometimes share parenting duties.
Arizona Blonde Tarantula,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,Aphonopelma chalcodes,They are covered in thousands of fuzzy blonde hairs.
Arizona Coral Snake,Animalia,Chordata,Reptilia,Squamata,Elapidae,Micuroides,Micruroides euryxanthus,The Arizona coral snake is among the most venomous snakes of North America.
Armadillo Lizard,Animalia,Chordata,Reptilia,Squamata,Cordylidae,Ouroborus,Ouroborus cataphractus,"They communicate through a series of tongue flicking, head bobbing and tail wagging, among other methods."
Armadillo,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypodidae,"Can curl into a hard, protective ball!"
Armenian Gampr,Animalia,Chordata,Mammalia,Canidae,Canis,Canis lupus,,"Old school owners brush their coats with a rake once or twice a week, preventing major matting."
Armored Catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,,,
Armyworm,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,"They are so named because they ""march"" in armies of worms from one crop to another in search of food"
Arsinoitherium,Animalia,Chordata,Mammalia,Embrithopoda,Arsinoitheriidae,Arsinoitherium,Arsinoitherium,Arsinoitherium was a twin-horned mammal that looked like a rhino but is more closely related to present-day elephants.
Arthropleura,Animalia,Arthropoda,Diplopoda,Arthropleurida,Arthropleuridae,Arthropleura,Arthropleura armata,Arthropleura was the largest terrestrial invertebrate to have ever lived
Aruba Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus unicolor,This rattlesnake only lives on the island of Aruba.
Ashy Mining Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cineraria,Ashy mining bees deposit their eggs between 2-8 inches underground.
Asian Arowana,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,The male Asian arowana raises the eggs in its mouth
Asian Carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Dependent on species,Asian carp can consume 40% of their body weight in food a day!
Asian Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Ectobiddae,Blattella,Blattella asahinai,Originally discovered in Japan
Asian Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus,"The young are taken care of by all of the female elephants in the herd, referred to as ""aunties."
Asian Giant Hornet,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa mandarinia,The largest wasp in the world!
Asian Lady Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis,"Asian lady beetles infest indoor spaces, but they do not reproduce indoors."
Asian Longhorn Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Anoplophora glabripennis,"Their entire life cycle from larvae to beetle usually takes around 2 years in Asia. However, it may take longer in areas where they are an invasive species, like the UK and USA"
Asian Palm Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,It mainly eats mangos and coffee!
Asian Vine Snake,Animalia,Chordata,Reptilia,Squmata,Colubridae,Ahaetulla,Ahaetulla prasina,This snake chews on its victims to release venom.
Asian Water Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus salvator,The Asian water monitor is the second heaviest lizard in the world!
Asiatic Black Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus tibetanus,Known to eat 160 different tree-borne fruits in Thailand!
Asp Caterpillar,Animalia,Arthropoda,Insecta,Lepidoptera,Megalopygidae,Megalopyge,,The venom of some species of asp caterpillars is used in medicine.
Asp,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Vipera aspis,"It was the symbol of royalty in Egypt, and its bite was used for the execution of criminals in Greco-Roman times."
Assassin Bug,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Reduvius,Reduviidae,The assassin bug is named for its quick strike ability.
Assassin Snail 2,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Clea,Clea helena,Assassin snails attack and eat other snails.
Atlantic Cod,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,The Atlantic cod is one of the most popular food fishes in the world!
Atlantic Salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,These fish are known for their ability to leap and fight when hooked.
Atlantic Sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus oxyrinchus,Atlantic Sturgeon often leap out of the water.
Atlas Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chalcosoma,Chalcosoma atlas,Male Atlas beetles have prominent horns that are three times that of females.
Atlas Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Attacus,Attacus atlas,Adult atlas moths do not eat - they live off fat they stored as larvae.
Aurochs,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,The ancestor of all domesticated cattle!
Aussiedoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The breed has its own popular Instagram page (Aussiedoodles Daily)!
Aussiedor,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Aussiedors come in black, brown, cream, yellow, and almost every imaginable color due to their parentage!"
Aussiepom,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,
Australian Bulldog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"The Aussie is a strong swimmer, a good workout in nice weather."
Australian Cattle Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,High energy levels and active minds!
Australian Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blattidea,Periplaneta,Periplaneta australasiae,The most common type outdoor roach in Florida
Australian Firehawk,Animalia,Chordata,Aves,Accipitriformes & Falconiformes,,,,Australian firehawks are the arsonists of the avian world!
Australian Flathead Perch,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Rainfordia,Rainfordia opercularis,"This small fish fetches a high price tag, with individuals selling from $1,000 to $5,000."
Australian Gecko,Animalia,Chordata,Reptilia,Squamata,,,,Geckos have 100 teeth and continually replace them.
Australian Kelpie Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Kelpie can travel more than 30 miles in one day.
Australian Labradoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"The ""Australian"" just refers to where the breed originated"
Australian Mist,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,The Australian Mist (or spotted Australian mist) was bred in Australia in the 1700s1970s to produce a short-haired cat with a spotted coat.
Australian Retriever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,The Australian Retriever may have two different eye colors.
Australian Shepherd Mix,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"This hybrid has powerful herding skills, which come with guarding instincts, so some Aussiedors may be protective of their loved ones."
Australian Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,"Sweet, faithful and affectionate!"
Australian Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,"Australian terriers originally came from Tasmania. They're a mix between Cairn, Yorkshire, Skye, Irish, and Dandie Dinmont terriers."
Australopithecus,Animalia,,,,,,,
Australorp Chicken,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus domesticus,"Australorp chickens are among the best egg producers in the world, Hens in Australia set consecutive world records with one laying 364 eggs in a single year!"
